date,country,country_code,project,access,article,qid,views
2017-02-10,United Kingdom,GB,en.wikipedia,3524766,YouTube,Q866,2312
2017-02-10,Mexico,MX,es.wikipedia,4779374,WhatsApp,Q1049511,872
2017-02-10,Australia,AU,en.wikipedia,7529378,Facebook,Q355,496
2017-02-10,Japan,JP,ja.wikipedia,986542,Facebook,Q355,2159
2017-02-10,Japan,JP,ja.wikipedia,2479550,Instagram,Q209330,3915
2017-02-10,Japan,JP,ja.wikipedia,894212,YouTube,Q866,3179
2017-02-10,Colombia,CO,es.wikipedia,362760,YouTube,Q866,740
2017-02-10,Brazil,BR,en.wikipedia,7529378,Facebook,Q355,1118
2017-02-10,Morocco,MA,fr.wikipedia,776823,YouTube,Q866,494
2017-02-10,United States of America,US,en.wikipedia,3524766,YouTube,Q866,20865
2017-02-10,Canada,CA,en.wikipedia,31591547,Instagram,Q209330,515
2017-02-10,Colombia,CO,es.wikipedia,1019739,Facebook,Q355,804
2017-02-10,Indonesia,ID,id.wikipedia,102474,YouTube,Q866,1559
2017-02-10,France,FR,fr.wikipedia,3252248,Facebook,Q355,6194
2017-02-10,Argentina,AR,es.wikipedia,1019739,Facebook,Q355,694
2017-02-10,Indonesia,ID,id.wikipedia,782695,Instagram,Q209330,563
2017-02-10,Mexico,MX,es.wikipedia,362760,YouTube,Q866,2144
2017-02-10,Spain,ES,es.wikipedia,362760,YouTube,Q866,894
2017-02-10,United Kingdom,GB,en.wikipedia,9988187,Twitter,Q918,841
2017-02-10,Peru,PE,es.wikipedia,1019739,Facebook,Q355,570
2017-02-10,United States of America,US,en.wikipedia,32058867,WhatsApp,Q1049511,2538
2017-02-10,Germany,DE,de.wikipedia,2426353,Twitter,Q918,1357
2017-02-10,United Kingdom,GB,en.wikipedia,7529378,Facebook,Q355,1703
2017-02-10,United Kingdom,GB,en.wikipedia,31591547,Instagram,Q209330,1010
2017-02-10,Mexico,MX,es.wikipedia,5125182,Instagram,Q209330,566
2017-02-10,United States of America,US,en.wikipedia,31591547,Instagram,Q209330,3468
2017-02-10,India,IN,en.wikipedia,3524766,YouTube,Q866,2112
2017-02-10,Argentina,AR,es.wikipedia,362760,YouTube,Q866,726
2017-02-10,Italy,IT,it.wikipedia,2763155,YouTube,Q866,1725
2017-02-10,Brazil,BR,en.wikipedia,3524766,YouTube,Q866,552
2017-02-10,France,FR,fr.wikipedia,5969224,Instagram,Q209330,764
2017-02-10,France,FR,fr.wikipedia,776823,YouTube,Q866,2349
2017-02-10,Poland,PL,pl.wikipedia,722829,Facebook,Q355,695
2017-02-10,United States of America,US,en.wikipedia,33548254,Twitch.tv,Q4555537,834
2017-02-10,Australia,AU,en.wikipedia,3524766,YouTube,Q866,655
2017-02-10,United States of America,US,en.wikipedia,9988187,Twitter,Q918,4147
2017-02-10,Japan,JP,ja.wikipedia,1036212,Twitter,Q918,4835
2017-02-10,Germany,DE,de.wikipedia,6787305,WhatsApp,Q1049511,1400
2017-02-10,Brazil,BR,pt.wikipedia,1051474,Facebook,Q355,1501
2017-02-10,France,FR,fr.wikipedia,6575221,WhatsApp,Q1049511,623
2017-02-10,Spain,ES,es.wikipedia,1019739,Facebook,Q355,611
2017-02-10,Canada,CA,en.wikipedia,7529378,Facebook,Q355,854
2017-02-10,Mexico,MX,es.wikipedia,1019739,Facebook,Q355,2176
2017-02-11,Algeria,DZ,ar.wikipedia,232568,ÙÙØ³_Ø¨ÙÙ,Q355,861
2017-02-11,France,FR,fr.wikipedia,1695137,Twitter,Q918,579
2017-02-11,Germany,DE,de.wikipedia,1397776,YouTube,Q866,2327
2017-02-11,Germany,DE,en.wikipedia,3524766,YouTube,Q866,670
2017-02-11,United States of America,US,es.wikipedia,1019739,Facebook,Q355,473
2017-02-11,Germany,DE,en.wikipedia,7529378,Facebook,Q355,1000
2017-02-11,South Korea,KR,ko.wikipedia,822425,ì¸ì¤íê·¸ë¨,Q209330,832
2017-02-11,Germany,DE,de.wikipedia,6501279,Instagram,Q209330,1687
2017-02-11,Germany,DE,de.wikipedia,1783100,Facebook,Q355,1883
2017-02-11,Israel,IL,he.wikipedia,219699,YouTube,Q866,455
2017-02-11,Italy,IT,it.wikipedia,2658829,Facebook,Q355,2107
2017-02-11,Nigeria,NG,en.wikipedia,7529378,Facebook,Q355,473
2017-02-11,India,IN,en.wikipedia,9988187,Twitter,Q918,850
2017-02-11,Indonesia,ID,en.wikipedia,3524766,YouTube,Q866,580
2017-02-11,Brazil,BR,pt.wikipedia,330581,YouTube,Q866,1637
2017-02-11,Argentina,AR,en.wikipedia,7529378,Facebook,Q355,798
2017-02-11,United States of America,US,en.wikipedia,7529378,Facebook,Q355,10173
2017-02-11,India,IN,en.wikipedia,7529378,Facebook,Q355,4843
2017-02-11,United Kingdom,GB,en.wikipedia,32058867,WhatsApp,Q1049511,552
2017-02-11,Taiwan,TW,zh.wikipedia,293080,U2B,Q866,1126
2017-02-11,Netherlands,NL,nl.wikipedia,490956,YouTube,Q866,589
2017-02-11,Mexico,MX,en.wikipedia,7529378,Facebook,Q355,1166
2017-02-11,India,IN,en.wikipedia,31591547,Instagram,Q209330,1122
2017-02-11,Morocco,MA,fr.wikipedia,3252248,Facebook,Q355,1003
2017-02-11,Philippines,PH,en.wikipedia,7529378,Facebook,Q355,650
2017-02-11,Italy,IT,en.wikipedia,7529378,Facebook,Q355,706
2017-02-11,Taiwan,TW,zh.wikipedia,572923,Facebook,Q355,564
2017-02-11,Brazil,BR,pt.wikipedia,3876652,WhatsApp,Q1049511,1037
2017-02-11,Spain,ES,en.wikipedia,7529378,Facebook,Q355,465
2017-02-11,Italy,IT,it.wikipedia,3700969,Instagram,Q209330,990
2017-02-11,Algeria,DZ,fr.wikipedia,3252248,Facebook,Q355,1289
2017-02-11,South Korea,KR,ko.wikipedia,84071,ì íë¸,Q866,923
